pzz	sigma	t
1	0.101738429570649	2.817188323560659
2	0.253751610037541	4.758114796091406
3	0.228746175231902	7.966079176158090
4	0.617955666743696	8.827520646469344
5	0.104364923958923	11.798320297191445
6	0.118490056119905	12.037386617652627
7	0.131528514535490	17.272258423975174
8	0.165231324662008	18.055058410757471
9	0.188607452431399	21.852723096352030
10	0.137374831245867	22.509253105277164
11	0.111977598775046	22.718844992877415
12	0.122583982181830	22.876406106908792
13	0.226925017615634	23.322921508424621
14	1.061924183483381	23.717330398515834
15	0.151871284155531	27.102736828139243
16	0.168749469311500	30.836756715180687
17	0.230287046892461	31.745765408336769
18	0.165188539075064	31.894965042056867
19	0.241651668656247	32.494327767685185
20	0.132335275392470	36.920626986270889
21	1.447210939940676	38.108212107671982
22	0.140931545536684	41.595079614444352
23	0.655902889195684	42.481888258369779
24	0.144551710812009	45.277246357149039
25	0.197724258589442	48.666764566817896
26	0.176464107278664	49.133998246751645
27	0.225462611945150	49.365857839349999
28	1.161561435988295	52.719949682182637
29	0.105885960054048	53.924533212747484
30	0.159804299525248	54.569941132386312
31	0.928539361071103	57.062575104220457
32	0.156005216068228	59.989595675484587
33	0.273064024366745	60.622322196352528
34	0.586765606481789	65.589127587753353
35	0.142030441285620	66.681103505715498
36	0.512338117236695	68.499171672087655
37	0.383635754581262	68.836532815478051
38	1.282124604211229	71.680625649528665
39	0.285328253700476	76.410415558119652
40	0.641701632827663	78.960206699740127
41	0.729050689886173	83.442205743124518
42	0.116410227565663	84.288089933119309
43	0.140410732771123	85.231551634917793
44	0.207773339573125	85.601867941124851
45	0.104028304706106	85.619265283537018
46	1.070612565918885	85.997414301669195
47	0.100013298583831	87.868757911217756
48	0.386190574710044	88.322065153519958
49	0.128307500471020	88.463190961541684
50	0.636995192008375	92.745091972480239
51	0.158287075334033	94.953267951785236
52	0.100385904655725	95.352858932243066
53	0.177031738032657	95.549723370298125
54	1.044282026100343	99.073677641639961
55	0.151183256362416	99.455979420921494
56	0.959368720317712	101.503761225860501
57	0.114021158284347	104.383410721930545
58	0.504368258269863	104.477584806161730
59	0.102206184145714	104.517002580937628
60	0.108211801698244	104.726494775531108
61	0.115335387447781	106.316590684714868
62	0.529437934876087	106.848114463906029
63	0.166887691655175	111.227923490503372
64	0.156074063379457	111.369381012442219
65	0.100451516059032	111.393003441683859
66	0.114399307181660	112.945913906427080
67	0.995411996020788	113.446829261842524
68	0.858677684643821	115.967115158057382
69	0.119745771116846	117.681293407458426
70	0.925043139491056	118.748021079684435
71	0.121799146847647	121.612648120716813
72	0.104068377219285	121.690147335550748
73	0.422017218757459	121.884420383158655
74	0.355306384816177	124.005366534595481
75	0.874339959176624	127.772301888072477
76	0.567674276003635	130.111475122037461
77	0.100562988917305	130.234383917169396
78	1.274784628964108	132.769396109524450
79	0.467233773894291	134.229700611980064
80	0.475100229413028	138.359999075415317
81	0.101202625829857	138.883061625838508
82	0.181159259049946	140.250346950566012
83	0.105654422859318	140.447591192190487
84	0.172872525371429	140.679717444491985
85	0.119142780463784	141.169248782803294
86	0.690024221519235	142.747881627360954
87	0.763563809751707	146.568120433683760
88	1.179733452281689	147.719010167103932
89	0.186227461146897	148.545261354221111
90	0.145562766459568	150.037396231951135
